code,family,name,category_id,category_name,first_page,printed_page,pages,label,context
AT05-004-22,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,117,115,117,"AT05-004-22 - 25 mm  CURVA A 90° MICROFUSA Acciaio inox AISI 316, per tubo Ø 22mm | Ø 25mm. ELBOW 90° AI","IDE WITH SCREW AISI 316 stainless steel, for tube from Ø22 to 30mm. Ø CODICE · CODE 22 mm AT05-004-22 25 mm AT05-004-25 CURVA A 90° MICROFUSA Acciaio inox AISI 316, per tubo Ø 22mm | Ø 25mm. ELBOW 90° AISI 316 stainless steel, for tube Ø 22mm | Ø 25mm"
AT05-004-25,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,117,115,117,"AT05-004-25 - CURVA A 90° MICROFUSA Acciaio inox AISI 316, per tubo Ø 22mm | Ø 25mm. ELBOW 90° AISI 316","I 316 stainless steel, for tube from Ø22 to 30mm. Ø CODICE · CODE 22 mm AT05-004-22 25 mm AT05-004-25 CURVA A 90° MICROFUSA Acciaio inox AISI 316, per tubo Ø 22mm | Ø 25mm. ELBOW 90° AISI 316 stainless steel, for tube Ø 22mm | Ø 25mm. Ø CODICE · CODE"
AT05-005-22,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,118,116,118,"AT05-005-22 - 25 mm  T- 90° MICROFUSA Acciaio inox AISI 316, per tubo Ø da 22mm a 40mm. TEE, 90° AISI 31","mm AT05-015-30 Ø CODICE · CODE 22 mm AT05-001-22 25 mm AT05-001-25 Ø CODICE · CODE 22 mm AT05-005-22 25 mm AT05-005-25 T- 90° MICROFUSA Acciaio inox AISI 316, per tubo Ø da 22mm a 40mm. TEE, 90° AISI 316 stainless steel, for tube from Ø22 to 40mm. PE"
AT05-005-25,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,118,116,118,"AT05-005-25 - T- 90° MICROFUSA Acciaio inox AISI 316, per tubo Ø da 22mm a 40mm. TEE, 90° AISI 316 stain","CODICE · CODE 22 mm AT05-001-22 25 mm AT05-001-25 Ø CODICE · CODE 22 mm AT05-005-22 25 mm AT05-005-25 T- 90° MICROFUSA Acciaio inox AISI 316, per tubo Ø da 22mm a 40mm. TEE, 90° AISI 316 stainless steel, for tube from Ø22 to 40mm. PERNO SFILABILE IN A"
AT05-006-22,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,117,115,117,"AT05-006-22 - 25 mm  30 mm  SNODO A FORCELLA APRIBILE CON PERNO SFILABILE Acciaio inox AISI 316, per tub","25mm. ELBOW 90° AISI 316 stainless steel, for tube Ø 22mm | Ø 25mm. Ø CODICE · CODE 22 mm AT05-006-22 25 mm AT05-006-25 30 mm AT05-006-30 SNODO A FORCELLA APRIBILE CON PERNO SFILABILE Acciaio inox AISI 316, per tubo Ø da 22mm a 30mm. OPENING JAW SLIDE"
AT05-006-25,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,117,115,117,"AT05-006-25 - 30 mm  SNODO A FORCELLA APRIBILE CON PERNO SFILABILE Acciaio inox AISI 316, per tubo Ø da","SI 316 stainless steel, for tube Ø 22mm | Ø 25mm. Ø CODICE · CODE 22 mm AT05-006-22 25 mm AT05-006-25 30 mm AT05-006-30 SNODO A FORCELLA APRIBILE CON PERNO SFILABILE Acciaio inox AISI 316, per tubo Ø da 22mm a 30mm. OPENING JAW SLIDE WITH PIN AISI 316"
AT05-006-30,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,117,115,117,"AT05-006-30 - SNODO A FORCELLA APRIBILE CON PERNO SFILABILE Acciaio inox AISI 316, per tubo Ø da 22mm a","teel, for tube Ø 22mm | Ø 25mm. Ø CODICE · CODE 22 mm AT05-006-22 25 mm AT05-006-25 30 mm AT05-006-30 SNODO A FORCELLA APRIBILE CON PERNO SFILABILE Acciaio inox AISI 316, per tubo Ø da 22mm a 30mm. OPENING JAW SLIDE WITH PIN AISI 316 stainless steel,"
AT05-007-22,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,117,115,117,"AT05-007-22 - 25 mm  30 mm  SNODO A FORCELLA APRIBILE CON VITE Acciaio inox AISI 316, per tubo Ø da 22mm","0mm. JAW SLIDE AISI 316 stainless steel, for tube from Ø20 to 40mm. Ø CODICE · CODE 22 mm AT05-007-22 25 mm AT05-007-25 30 mm AT05-007-30 SNODO A FORCELLA APRIBILE CON VITE Acciaio inox AISI 316, per tubo Ø da 22mm a 30mm. OPENING JAW SLIDE WITH SCREW"
AT05-007-25,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,117,115,117,"AT05-007-25 - 30 mm  SNODO A FORCELLA APRIBILE CON VITE Acciaio inox AISI 316, per tubo Ø da 22mm a 30mm","I 316 stainless steel, for tube from Ø20 to 40mm. Ø CODICE · CODE 22 mm AT05-007-22 25 mm AT05-007-25 30 mm AT05-007-30 SNODO A FORCELLA APRIBILE CON VITE Acciaio inox AISI 316, per tubo Ø da 22mm a 30mm. OPENING JAW SLIDE WITH SCREW AISI 316 stainles"
AT05-007-30,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,117,115,117,"AT05-007-30 - SNODO A FORCELLA APRIBILE CON VITE Acciaio inox AISI 316, per tubo Ø da 22mm a 30mm. OPENI","eel, for tube from Ø20 to 40mm. Ø CODICE · CODE 22 mm AT05-007-22 25 mm AT05-007-25 30 mm AT05-007-30 SNODO A FORCELLA APRIBILE CON VITE Acciaio inox AISI 316, per tubo Ø da 22mm a 30mm. OPENING JAW SLIDE WITH SCREW AISI 316 stainless steel, for tube"
